"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"E","ENI S.p.A.","34.53","$62.74B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/e",
"ENLC","EnLink Midstream, LLC","11.19","$6.11B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/enlc",
"EBF","Ennis, Inc.","21.14","$552.27M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ebf",
"ENVA","Enova International, Inc.","24.99","$836.93M","2014","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/enva",
"NPO","EnPro Industries","68.81","$1.42B","n/a","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/npo",
"ESV","ENSCO plc","4.22","$1.85B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/esv",
"ETM","Entercom Communications Corp.","6.1","$864.84M","1999","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/etm",
"EAB","Entergy Arkansas, LLC","24.74","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, LLC","24.98","n/a","2013","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, LLC","24.8","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eai",
"ETR","Entergy Corporation","92.09","$17.46B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/etr",
"ELC","Entergy Louisiana, Inc.","24.8","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elc",
"ELJ","Entergy Louisiana, Inc.","26.01","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elj",
"ELU","Entergy Louisiana, Inc.","24.34","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elu",
"EMP","Entergy Mississippi, LLC","24.71","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, LLC","24.68","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, LLC","27.23","n/a","2016","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/eno",
"EZT","Entergy Texas Inc","27.1","n/a","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ezt",
"EPD","Enterprise Products Partners L.P.","27.86","$60.81B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/epd",
"EVC","Entravision Communications Corporation","3.84","$341.21M","2000","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/evc",
"ENV","Envestnet, Inc","61.12","$2.94B","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"EVA","Enviva Partners, LP","29.62","$784.3M","2015","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/eva",
"ENZ","Enzo Biochem, Inc.","3.04","$143.46M","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/enz",
"EOG","EOG Resources, Inc.","91.94","$53.33B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","0.6094","$156.56M","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/epe",
"EPAM","EPAM Systems, Inc.","160.69","$8.71B","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/epam",
"EPR","EPR Properties","73.62","$5.51B","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/epr",
"EPR^C","EPR Properties","30.45","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^c",
"EPR^E","EPR Properties","37.21","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^e",
"EPR^G","EPR Properties","23.12","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^g",
"EQM","EQM Midstream Partners, LP","40.25","$8.35B","2012","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/eqm",
"EQT","EQT Corporation","18.85","$4.8B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eqt",
"EFX","Equifax, Inc.","109.38","$13.2B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/efx",
"EQNR","Equinor ASA","22.42","$74.69B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/eqnr",
"ETRN","Equitrans Midstream Corporation","18.38","$4.67B","2018","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/etrn",
"EQC","Equity Commonwealth","32.81","$3.99B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqc",
"EQC^D","Equity Commonwealth","26.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqc^d",
"ELS","Equity Lifestyle Properties, Inc.","111.23","$10B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/els",
"EQR","Equity Residential","73.55","$27.21B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqr",
"EQS","Equus Total Return, Inc.","1.85","$25.01M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqs",
"ERA","Era Group, Inc.","10.25","$223.06M","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/era",
"EROS","Eros International PLC","10.05","$739.8M","2013","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/eros",
"ESE","ESCO Technologies Inc.","68.04","$1.76B","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/ese",
"ESNT","Essent Group Ltd.","43.62","$4.29B","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esnt",
"EPRT","Essential Properties Realty Trust, Inc.","16.65","$728.42M","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eprt",
"ESS","Essex Property Trust, Inc.","281.37","$18.48B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ess",
"EL","Estee Lauder Companies, Inc. (The)","153.88","$55.58B","1995","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/el",
"ESL","Esterline Technologies Corporation","122.1","$3.63B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esl",
"ETH","Ethan Allen Interiors Inc.","19.66","$522.55M","1993","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/eth",
"EURN","Euronav NV","8.01","$1.75B","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/eurn",
"EEA","European Equity Fund, Inc. (The)","8.54","$67.59M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eea",
"EB","Eventbrite, Inc.","31.43","$2.46B","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/eb",
"EVR","Evercore Inc.","89.13","$3.65B","2006","Finance","Investment Managers","https://www.nasdaq.com/symbol/evr",
"RE","Everest Re Group, Ltd.","222.11","$9.03B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/re",
"EVRG","Evergy, Inc.","54.84","$13.96B","2018","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/evrg",
"EVRI","Everi Holdings Inc.","7.7","$540.49M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/evri",
